licence_class,year,crashes,driver_deaths,share_of_crashes,share_of_driver_deaths,region_scope
A,2014,703,52,0.1015,0.2213,Spain without Cataluña and País Vasco
A,2023,596,65,0.1048,0.2851,Spain without Cataluña and País Vasco
A1,2014,64,2,0.0092,0.0085,Spain without Cataluña and País Vasco
A1,2023,104,7,0.0183,0.0307,Spain without Cataluña and País Vasco
A2,2014,47,6,0.0068,0.0255,Spain without Cataluña and País Vasco
A2,2023,158,17,0.0278,0.0746,Spain without Cataluña and País Vasco
AM,2014,139,5,0.0201,0.0213,Spain without Cataluña and País Vasco
AM,2023,131,6,0.023,0.0263,Spain without Cataluña and País Vasco
B,2014,5072,140,0.7323,0.5957,Spain without Cataluña and País Vasco
B,2023,3853,112,0.6773,0.4912,Spain without Cataluña and País Vasco
C,2014,102,1,0.0147,0.0043,Spain without Cataluña and País Vasco
C,2023,103,1,0.0181,0.0044,Spain without Cataluña and País Vasco
C1,2014,10,0,0.0014,0,Spain without Cataluña and País Vasco
C1,2023,2,0,0.0004,0,Spain without Cataluña and País Vasco
D,2014,38,0,0.0055,0,Spain without Cataluña and País Vasco
D,2023,28,0,0.0049,0,Spain without Cataluña and País Vasco
D1,2014,3,0,0.0004,0,Spain without Cataluña and País Vasco
D1,2023,4,0,0.0007,0,Spain without Cataluña and País Vasco
Otro,2014,736,29,0.1063,0.1234,Spain without Cataluña and País Vasco
Otro,2023,683,19,0.1201,0.0833,Spain without Cataluña and País Vasco
Se desconoce,2014,12,0,0.0017,0,Spain without Cataluña and País Vasco
Se desconoce,2023,27,1,0.0047,0.0044,Spain without Cataluña and País Vasco
Total,2014,6926,235,1,1,Spain without Cataluña and País Vasco
Total,2023,5689,228,1,1,Spain without Cataluña and País Vasco
