band,residents,year,licence_holders,licence_share,sex
15-24,4490039,2014,1900337,0.423233963,total
25-34,6076026,2014,4758251,0.7831189333,total
35-44,7872615,2014,6600308,0.8383882611,total
45-54,7055271,2014,5588530,0.7921070643,total
55-64,5419329,2014,3820719,0.7050169864,total
65-74,4211662,2014,2340698,0.5557658711,total
75+,4276119,2014,1206810,0.2822208643,total
15-24,4655877,2019,1696837,0.3644505643,total
25-34,5364584,2019,4052622,0.7554401236,total
35-44,7418148,2019,6085970,0.8204163627,total
45-54,7504228,2019,6237070,0.8311407916,total
55-64,6168889,2019,4847637,0.7858201047,total
65-74,4603380,2019,2874630,0.6244607223,total
75+,4522424,2019,1510616,0.3340279461,total
15-24,5305535,2024,1788324,0.3370676096,total
25-34,5504183,2024,3838616,0.6973997776,total
35-44,6645201,2024,5175805,0.7788786223,total
45-54,7997979,2024,6630693,0.8290460628,total
55-64,6937044,2024,5428294,0.7825082268,total
65-74,5068556,2024,3394739,0.6697645246,total
75+,4981669,2024,1885997,0.378587377,total
15-24,2298905,2014,1040320,0.4525284864,male
25-34,3058072,2014,2452273,0.8019016557,male
35-44,4020633,2014,3567898,0.887397084,male
45-54,3536704,2014,3159725,0.8934095135,male
55-64,2652141,2014,2359048,0.8894881532,male
65-74,1977540,2014,1706245,0.8628118774,male
75+,1670427,2014,1060943,0.6351328133,male
15-24,2391462,2019,947525,0.3962116061,male
25-34,2698464,2019,2070822,0.7674076808,male
35-44,3746932,2019,3194220,0.85248945,male
45-54,3770172,2019,3426540,0.9088550867,male
55-64,3014396,2019,2803739,0.9301163483,male
65-74,2162113,2019,1913166,0.8848593945,male
75+,1790623,2019,1263054,0.7053712591,male
15-24,2739752,2024,1033737,0.3773104281,male
25-34,2799759,2024,2024412,0.7230665211,male
35-44,3321369,2024,2665792,0.8026184384,male
45-54,4015531,2024,3565338,0.8878870565,male
55-64,3394469,2024,3051731,0.8990304522,male
65-74,2383043,2024,2109897,0.8853793238,male
75+,2003489,2024,1485064,0.7412389087,male
15-24,2191134,2014,860017,0.3924985875,female
25-34,3017954,2014,2305978,0.7640865301,female
35-44,3851982,2014,3032410,0.787233689,female
45-54,3518567,2014,2428805,0.690282436,female
55-64,2767188,2014,1461671,0.5282152857,female
65-74,2234122,2014,634453,0.2839831486,female
75+,2605692,2014,145867,0.05598013887,female
15-24,2264415,2019,749312,0.3309075412,female
25-34,2666120,2019,1981800,0.7433273821,female
35-44,3671216,2019,2891750,0.7876817926,female
45-54,3734056,2019,2810530,0.7526748394,female
55-64,3154493,2019,2043898,0.6479323302,female
65-74,2441267,2019,961464,0.3938381177,female
75+,2731801,2019,247562,0.09062226714,female
15-24,2565783,2024,754587,0.2940961882,female
25-34,2704424,2024,1814204,0.6708282429,female
35-44,3323832,2024,2510013,0.7551563978,female
45-54,3982448,2024,3065355,0.769716265,female
55-64,3542575,2024,2376563,0.6708574977,female
65-74,2685513,2024,1284842,0.4784344742,female
75+,2978180,2024,400933,0.1346234949,female
